Date,Price
25/02/2020,1100
26/02/2020,1000
27/02/2020,1100
28/02/2020,1100
29/02/2020,1100
01/03/2020,1100
02/03/2020,1100
03/03/2020,1000
04/03/2020,1000
05/03/2020,1100
06/03/2020,1100
07/03/2020,1100
08/03/2020,1100
09/03/2020,1000
10/03/2020,1000
11/03/2020,1000
12/03/2020,900
13/03/2020,900
14/03/2020,900
15/03/2020,900
16/03/2020,900
17/03/2020,1000
18/03/2020,1000
19/03/2020,1000
20/03/2020,1000
21/03/2020,1000
22/03/2020,1000
23/03/2020,900
24/03/2020,1000
25/03/2020,1000
26/03/2020,1000
27/03/2020,1000
28/03/2020,1000
29/03/2020,1000
30/03/2020,900
31/03/2020,900
01/04/2020,1000
02/04/2020,1000
03/04/2020,1000
04/04/2020,1000
05/04/2020,1000
06/04/2020,1000
07/04/2020,1000
08/04/2020,1000
09/04/2020,900
10/04/2020,1000
11/04/2020,1000
12/04/2020,1000
13/04/2020,1000
14/04/2020,1000
15/04/2020,1000
16/04/2020,1000
17/04/2020,900
18/04/2020,900
19/04/2020,900
20/04/2020,1000
21/04/2020,900
22/04/2020,900
23/04/2020,1000
24/04/2020,1000
25/04/2020,1000
26/04/2020,1000
27/04/2020,1000
28/04/2020,900
29/04/2020,900
30/04/2020,900
01/05/2020,900
02/05/2020,900
03/05/2020,900
04/05/2020,1000
05/05/2020,1000
06/05/2020,1000
07/05/2020,1000
08/05/2020,1000
09/05/2020,1000
10/05/2020,1000
11/05/2020,1100
12/05/2020,1100
13/05/2020,1100
14/05/2020,1100
15/05/2020,1100
16/05/2020,1100
17/05/2020,1100
18/05/2020,1000
19/05/2020,1000
20/05/2020,1000
21/05/2020,1100
22/05/2020,1100
23/05/2020,1100
24/05/2020,1100
25/05/2020,1000
26/05/2020,1000
27/05/2020,1000
28/05/2020,1000
29/05/2020,1000
30/05/2020,1000
31/05/2020,1000
01/06/2020,1100
02/06/2020,1200
03/06/2020,1100
04/06/2020,1200
05/06/2020,1200
06/06/2020,1200
07/06/2020,1200
08/06/2020,1200
09/06/2020,1300
10/06/2020,1400
11/06/2020,1500
12/06/2020,1500
13/06/2020,1500
14/06/2020,1500
15/06/2020,1500
16/06/2020,1500
17/06/2020,1300
18/06/2020,1300
19/06/2020,1400
20/06/2020,1400
21/06/2020,1400
22/06/2020,1400
23/06/2020,1400
24/06/2020,1300
25/06/2020,1400
26/06/2020,1300
27/06/2020,1300
28/06/2020,1300
29/06/2020,1300
30/06/2020,1200
01/07/2020,1200
02/07/2020,1300
03/07/2020,1200
04/07/2020,1200
05/07/2020,1200
06/07/2020,1200
07/07/2020,1200
08/07/2020,1200
09/07/2020,1200
10/07/2020,1200
11/07/2020,1200
12/07/2020,1200
13/07/2020,1200
14/07/2020,1200
15/07/2020,1100
16/07/2020,1200
17/07/2020,1200
18/07/2020,1200
19/07/2020,1200
20/07/2020,1200
21/07/2020,1200
22/07/2020,1200
23/07/2020,1200
24/07/2020,1100
25/07/2020,1100
26/07/2020,1100
27/07/2020,1000
28/07/2020,1000
29/07/2020,1000
30/07/2020,1000
31/07/2020,1000
01/08/2020,1000
02/08/2020,1000
03/08/2020,1100
04/08/2020,1100
05/08/2020,1000
06/08/2020,1100
07/08/2020,1100
08/08/2020,1100
09/08/2020,1100
10/08/2020,1100
11/08/2020,1100
12/08/2020,1100
13/08/2020,1200
14/08/2020,1200
15/08/2020,1200
16/08/2020,1200
17/08/2020,1200
18/08/2020,1100
19/08/2020,1200
20/08/2020,1200
21/08/2020,1200
22/08/2020,1200
23/08/2020,1200
24/08/2020,1100
25/08/2020,1200
26/08/2020,1300
27/08/2020,1400
28/08/2020,1400
29/08/2020,1400
30/08/2020,1400
31/08/2020,1200
01/09/2020,1400
02/09/2020,1400
03/09/2020,1400
04/09/2020,1300
05/09/2020,1300
06/09/2020,1300
07/09/2020,1300
08/09/2020,1300
09/09/2020,1300
10/09/2020,1300
11/09/2020,1400
12/09/2020,1400
13/09/2020,1400
14/09/2020,1300
15/09/2020,1300
16/09/2020,1300
17/09/2020,1300
18/09/2020,1300
19/09/2020,1300
20/09/2020,1300
21/09/2020,1300
22/09/2020,1400
23/09/2020,1400
24/09/2020,1300
25/09/2020,1300
26/09/2020,1300
27/09/2020,1300
28/09/2020,1300
29/09/2020,1200
30/09/2020,1300
01/10/2020,1300
02/10/2020,1400
03/10/2020,1400
04/10/2020,1400
05/10/2020,1300
06/10/2020,1400
07/10/2020,1300
08/10/2020,1300
09/10/2020,1400
10/10/2020,1400
11/10/2020,1400
12/10/2020,1300
13/10/2020,1300
14/10/2020,1300
15/10/2020,1300
16/10/2020,1300
17/10/2020,1300
18/10/2020,1300
19/10/2020,1300
20/10/2020,1400
21/10/2020,1300
22/10/2020,1300
23/10/2020,1200
24/10/2020,1200
25/10/2020,1200
26/10/2020,1300
27/10/2020,1300
28/10/2020,1200
29/10/2020,1200
30/10/2020,1300
31/10/2020,1300
01/11/2020,1300
02/11/2020,1200
03/11/2020,1300
04/11/2020,1200
05/11/2020,1200
06/11/2020,1200
07/11/2020,1200
08/11/2020,1200
09/11/2020,1200
10/11/2020,1200
11/11/2020,1200
12/11/2020,1300
13/11/2020,1300
14/11/2020,1300
15/11/2020,1300
16/11/2020,1200
17/11/2020,1300
18/11/2020,1200
19/11/2020,1300
20/11/2020,1300
21/11/2020,1300
22/11/2020,1300
23/11/2020,1300
24/11/2020,1400
25/11/2020,1500
26/11/2020,1300
27/11/2020,1300
28/11/2020,1300
29/11/2020,1300
30/11/2020,1400
01/12/2020,1400
02/12/2020,1500
03/12/2020,1400
04/12/2020,1500
05/12/2020,1500
06/12/2020,1500
07/12/2020,1400
08/12/2020,1500
09/12/2020,1700
10/12/2020,1800
11/12/2020,2000
12/12/2020,2000
13/12/2020,2000
14/12/2020,2300
15/12/2020,2500
16/12/2020,2800
17/12/2020,3200
18/12/2020,3600
19/12/2020,3600
20/12/2020,3600
21/12/2020,4000
22/12/2020,4600
23/12/2020,4400
24/12/2020,4000
25/12/2020,4600
26/12/2020,4600
27/12/2020,4600
28/12/2020,5000
29/12/2020,5500
30/12/2020,5000
31/12/2020,5200
01/01/2021,5200
02/01/2021,5200
03/01/2021,5200
04/01/2021,5200
05/01/2021,4900
06/01/2021,4800
07/01/2021,5200
08/01/2021,5600
09/01/2021,5600
10/01/2021,5600
11/01/2021,5900
12/01/2021,5700
13/01/2021,5400
14/01/2021,5900
15/01/2021,6100
16/01/2021,6100
17/01/2021,6100
18/01/2021,7000
19/01/2021,7100
20/01/2021,7100
21/01/2021,7800
22/01/2021,8700
23/01/2021,8700
24/01/2021,8700
25/01/2021,7800
26/01/2021,6900
27/01/2021,6100
28/01/2021,5300
29/01/2021,5400
30/01/2021,5400
31/01/2021,5400
01/02/2021,5600
02/02/2021,5800
03/02/2021,6400
04/02/2021,6400
05/02/2021,6500
06/02/2021,6500
07/02/2021,6500
08/02/2021,6200
09/02/2021,6300
10/02/2021,6300
11/02/2021,6300
12/02/2021,6300
13/02/2021,6300
14/02/2021,6300
15/02/2021,6300
16/02/2021,6300
17/02/2021,6500
18/02/2021,6200
19/02/2021,6200
20/02/2021,6200
21/02/2021,6200
22/02/2021,6200
23/02/2021,6200
24/02/2021,6300
25/02/2021,6400
26/02/2021,6300
27/02/2021,6300
28/02/2021,6300
01/03/2021,6200
02/03/2021,6300
03/03/2021,6300
04/03/2021,7100
05/03/2021,7800
06/03/2021,7800
07/03/2021,7800
08/03/2021,7500
09/03/2021,7100
10/03/2021,7300
11/03/2021,7600
12/03/2021,7400
13/03/2021,7400
14/03/2021,7400
15/03/2021,7400
16/03/2021,7600
17/03/2021,7500
18/03/2021,7600
19/03/2021,7600
20/03/2021,7600
21/03/2021,7600
22/03/2021,7500
23/03/2021,7500
24/03/2021,7200
25/03/2021,6900
26/03/2021,7100
